Місце,Клуб,Очки
1,«Динамо» Київ,29
2,«Шахтар» Донецьк,26
3,«Ворскла» Полтава,24
4,«Дніпро-1» Дніпро,22
5,«Зоря» Луганськ,20
6,«Олександрія» Олександрія,18
7,«Десна» Чернігів,17
8,«Металіст 1925» Харків,16
9,«Верес» Рівне,12
10,«Рух» Львів,11
11,«Колос» Ковалівка,11
12,«Інгулець» Петрове,8
13,«Минай» Минай,7
14,«Львів» Львів,6
15,«Чорноморець» Одеса,6
16,«Маріуполь» Маріуполь,4
